Duration (in seconds),Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_text,Q3.1,Q3.1 text,Q3.2,Q3.2 text,Q3.3,Q3.3 text,Q3.4,Q3.4 text,Q3.5,Q3.5 text,Q3.6,Q3.6 text,Q3.7,Q3.7 text,Q3.8,Q3.8 text,Q3.9,Q3.9 text,Q3.10,Q3.10 text,Q3.text,Q4,Q5,Q5_text,Q6,Q6_9_TEXT,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q8a_1,Q8a_2,Q8a_3,Q8a_4,Q8a_5,Q8a_6,Q8a_7,Q8a_8,Q8a_9,Q8a_10,Q8a_11,Q8b_1,Q8b_2,Q8b_3,Q8b_4,Q8b_5,Q8b_6,Q8b_7,Q8b_8,Q8b_9,Q8b_10,Q8b_11,Q9a_1,Q9a_2,Q9a_3,Q9a_4,Q9a_5,Q9a_6,Q9a_7,Q9a_8,Q9a_9,Q9a_10,Q9b_1,Q9b_2,Q9b_3,Q9b_4,Q9b_5,Q9b_6,Q9b_7,Q9b_8,Q9b_9,Q9b_10,Q10,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q16,Q17,Q17_3_TEXT,Q18,Q19,Q20,Q20_9_TEXT,Q22
618,2,5,4,4,2,,48,,4,,4,,1,,4,,1,,5,,4,,5,,5,,,5,4,We should deploy every feasible strategy to avoid/reduce future emissions. ,2,,1,3,3,2,2,1,2,6,2,5,2,2,5,3,5,5,3,2,2,2,5,2,3,5,3,5,4,2,4,3,3,4,4,4,3,3,4,4,4,5,4,3,5,5,5,3,4,4,4,,1,2,1,5,4,4,3,5,5,4,5,4,2,6,4,1,1,4,1,1,1,2,5,5,4,2,1,4,2,5,5,4,2,4,4,,2,,23,2,7,,
834,2,4,3,2,3,,49,,6,,2,,1,,1,,1,,4,,3,,6,,4,,,1,3,I don’t know enough to have an informed opinion ,6,,6,6,2,2,2,2,6,6,6,6,6,6,6,4,4,5,2,6,6,6,6,6,6,6,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,3,,2,2,2,3,3,3,3,4,4,3,3,2,3,6,2,2,2,4,2,2,3,2,4,4,2,2,2,5,3,5,5,5,1,5,5,,1,,41,2,7,,
851,2,6,6,6,6,,48,,3,,3,,3,,6,,2,,5,,5,,6,,5,,,2,4,"In theory it sounds interesting, I wonder what the emissions of those projects is, the cost, and if they are overall better than restoring coasts and forests and ecosystem services",2,,1,2,2,4,4,4,4,4,4,5,4,4,5,4,5,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,3,3,3,3,4,4,4,4,5,4,4,3,3,3,3,,3,6,4,4,4,4,4,4,4,2,3,3,3,2,3,2,1,4,1,1,4,2,5,4,5,2,1,5,5,5,5,5,2,4,4,,2,,18,2,7,,
1229,2,4,3,4,3,I am not convinced we know enough now to evaluate what will stabilize warming much less reverse it,48,,2,,3,,1,,1,,1,,5,,4,,1,,4,,"while these technologies all potentially offer some degree of CO2 sequestration, some (like iron fertilization) come with, for example high risks of setting off harmful algal blooms.  Obviously the most efficient method of reducing CO2 in the atmosphere is by eliminating the source.",1,3,"The engineering challenges of such a project would be enormous.  Likewise, given the geologic instability of the region (earthquake zones) what assurances are there that liquid CO2 would stay in place and not leak into an environment already stressed by ocean acidification?",2,,1,3,1,4,5,3,4,4,3,5,2,4,4,5,3,6,6,2,2,1,4,3,4,5,6,6,6,6,3,3,2,2,2,3,3,5,4,4,3,3,4,2,2,2,3,4,3,3,2,see risks as noted previously,1,6,1,4,4,4,3,4,5,3,5,3,2,1,4,4,3,3,4,3,3,5,4,4,5,5,1,4,4,5,5,5,1,2,5,,1,,53,2,7,,
892,2,4,6,6,6,,49,,6,,6,,1,,6,,1,,5,,5,"it is unclear from this question whether you mean unforested ""previous to now"" but take forests, or whether you mean turning the prairies into forests.  i think putting trees where they've been lost (e.g. marginal agricultural land) makes sense",6,,4,,,1,4,"The biological characteristics of where these would be deployed would be a major factor, just like the placement of windfarms ... lots of areas might make sense from an engineering perspective but not from a biological perspective, and my experience is that if you open up that scenario, industry/engineering will win out over nature",2,,1,2,3,4,3,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,"Sorry, but I don't see how you can ask these questions about costs and benefits and then have naive people (even scientists) be expected to rank them.  There is not enough info provided here for me to make any sort of informed decision, so I put ""I don't know"" down everywhere.",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,4,2,2,2,2,3,2,3,2,3,3,4,4,3,2,3,4,"Again, I'm not too sure I like any of these questions ... too simple or too biased in wording.",1,,38,3,7,,"I'm not really sure what you were trying to get at, but the questions seem quite biased to me."
840,2,1,4,2,4,,46,,2,,2,,1,,1,,3,,4,,5,,1,,4,,,5,2,"Way too uncertain (e.g. we don't know about actual mineralization thermokinetics under long time scales), too risky from an engineering point of view)",5,,1,3,3,5,5,5,4,4,4,5,2,4,5,5,5,3,3,2,2,2,4,4,4,3,4,5,3,2,1,2,4,4,2,1,1,1,2,1,4,4,4,3,4,4,1,2,3,1,2,,1,2,2,2,1,3,2,5,3,5,5,2,3,1,3,2,2,3,5,4,4,2,4,4,4,1,1,4,3,3,5,5,1,4,5,,1,,24,6,7,,
705,2,1,1,1,1,,49,,4,,4,,5,,4,,2,,5,,5,,3,,4,,,5,1,No interest,6,,1,1,4,1,1,1,6,6,6,6,6,6,6,6,4,4,5,6,6,6,4,5,6,5,6,3,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,5,5,,1,,51,3,7,,
2867,2,2,4,4,2,Technologically engineered processes have dangerous possible side affects and more discussion needs to be made of applications of the precautionary principle in avoiding these.,49,,3,,3,,1,The potential for unforeseen issues of this sort of approach is hard to underestimate.  Possible impacts on trophic cascades of ecosystems and basic biogeochemical functions of marine communities are very poorly understood.,1,,1,Same as ocean pH.  The possible unforeseen consequences of this are mind-boggling.,5,This approach has many co-benefits and is unlikely to threaten resources (such as freshwater) used by human populations.,6,"This question is unclear.  Are these areas that were historically savannah or grassland ecosystems (e.g. the Cerrado in Brazil) or areas that were deforested by human activity?  ""Previously unforested"" is imprecise wording.  If it is the former I would rank -2, if the latter I would rank +2.",3,,5,,"There are many economic and ethical issues raised by technological solutions, beyond the scientific ones.  Why would we privatize the benefits of solving a problem created by a private industry externalizing the environmental cost of their activities? We need a more holistic discussion of all of these issues.",5,3,"It is very dependent on how it is funded.  If it is 100% funded by taxes on fossil fuels or a similar mechanism, I'd be willing to support it.",9,The industry should show it is a viable option by funding a demonstration project.  Taxes on emissions should begin immediately.,1,1,2,3,4,3,1,1,3,4,1,5,4,5,4,4,4,2,2,3,4,3,4,4,5,4,4,4,2,2,3,3,3,3,1,2,3,3,4,4,3,1,5,3,4,4,4,4,3,Seems to be using up a lot of effort and funds that would be more effectively used at research and policy directed toward reducing emissions in production chains and restoring natural carbon sinks.,1,1,1,4,3,4,3,4,4,3,4,3,3,2,3,4,1,5,2,1,3,2,5,4,5,1,1,5,3,5,5,5,2,1,5,Protecting the environment is also a matter of ethical obligations to future generations of humans.,1,,23,1,7,,"I wonder if the government parts assume that we are talking about Canada?  In the US, we don't see much distinction between 'federal' and 'national' government, for example.  You probably should consult experts to see if your questions make sense before sending out a survey like this."
1434,2,4,4,3,4,,48,,4,,4,,2,,2,,1,,5,,4,,3,,5,,,2,4,"If wind energy is sufficient and efficient to power this process, then the net impact on emissions is reduction.",2,,2,1,2,2,2,1,3,6,6,3,2,4,2,4,4,6,5,6,6,6,2,1,3,6,4,5,6,5,4,4,6,4,4,4,6,6,6,3,6,5,5,4,5,5,5,6,6,4,3,"In principle this technology should be preferred over other geoengineering options to cool the earth (rather than remove the carbon).  This technology also reduces ocean acidification.  The uncertainties regarding impacts to the marine environment, readiness versus the need for further testing, cost-benefits, and potential risks of the technology (earthquakes, etc) are the outstanding issues.  I also wonder how many regions of the seabed are viable substrata for this process.",1,2,3,4,4,4,4,5,5,4,4,3,3,1,3,3,2,5,2,1,3,2,4,3,3,5,1,5,5,4,5,5,2,4,5,,2,,46,2,7,,
1058,2,4,4,3,4,,48,,3,,2,,2,,2,,3,,4,,3,"if the areas lack trees, it could be that they are not conducive to forestation",2,"burning to make biochar releases CO2 for recapture, sounds illogical",3,,,2,4,I think an industrial-scale solution is needed to remove atmospheric CO2. This concept seems to fit.,2,,1,1,1,2,2,1,3,4,4,3,2,2,2,3,4,4,4,6,6,6,6,6,6,6,6,6,6,6,3,3,2,3,4,4,4,3,3,4,6,6,6,6,6,6,6,6,6,6,4,,2,3,2,4,2,3,3,4,4,4,3,3,2,2,3,2,4,2,4,3,3,4,4,3,4,4,3,3,4,3,4,3,4,2,4,,1,,58,3,7,,You would get more bang for the buck by focusing on mitigating methane emissions in the short term vs. CO2.
